日時,銘柄,売買,数量,約定単価,金額(円),実現損益(円),理由
2026-08-25 23:03:30,EURJPY=X,買,1613.9133,185.884,300000,,強気/分散保有
2026-08-25 23:03:30,GBPJPY=X,買,1380.9756,217.238,300000,,強気/分散保有
2026-08-25 23:03:30,AUDJPY=X,買,2631.7313,113.993,300000,,強気/分散保有
2026-09-03 07:01:58,GBPJPY=X,売,1380.9756,213.945,295452,-4548,中立/ドンチャン20/10
2026-09-03 11:16:05,EURJPY=X,売,1613.9133,183.405,295999,-4001,弱気/ドンチャン55/20
2026-09-03 16:01:42,AUDJPY=X,売,2631.7313,112.392,295785,-4215,弱気/ドンチャン55/20
