日時,実運用レジーム,シャドー(ボラ閾値0.08),一致
2026-08-25 23:03:33,強気,中立,×
2026-08-26 12:02:26,強気,中立,×
2026-08-27 09:01:49,強気,中立,×
2026-08-28 09:01:57,強気,中立,×
2026-08-31 09:01:57,強気,中立,×
2026-09-01 09:01:51,強気,中立,×
2026-09-02 09:01:56,強気,中立,×
2026-09-03 09:01:52,中立,中立,○
2026-09-04 09:01:57,弱気,弱気,○
